run,dataset,bus,model,variant,system_label,model_name,accuracy,balanced_accuracy,precision,recall,f1,mcc,fpr,fnr,auroc,auprc,latency_ms_per_sample,n,threshold
qgrid118_gcn_full,qgrid,118,gcn,full,QGrid-Synth 118-bus,GCN,0.7160179640718562,0.7160179640718562,0.8796968740132618,0.5004790419161677,0.6379909163772375,0.4788084561053968,0.06844311377245509,0.49952095808383234,0.7625877120011474,0.8179730850147942,0.006398652425080449,33400,
qgrid118_wgcn_full,qgrid,118,wgcn,full,QGrid-Synth 118-bus,W-GCN,0.6689520958083832,0.6689520958083832,0.92991010208746,0.36544910179640716,0.5246958689764862,0.4251986383262181,0.027544910179640718,0.6345508982035928,0.737037337301445,0.7899527847360384,0.006578846738400484,33400,
qgrid118_gat_full,qgrid,118,gat,full,QGrid-Synth 118-bus,GAT,0.6764071856287425,0.6764071856287426,0.8002445984508765,0.4701796407185629,0.5923355461677731,0.3872918953654346,0.11736526946107785,0.5298203592814371,0.7379820305496791,0.7820942587181119,0.011206887757216028,33400,
ruan30_cnn1d_full,ruan,30,cnn1d,full,Ruan CAISO 30-bus,1D-CNN,0.9963,0.9963007398520296,1.0,0.9926014797040592,0.9962870045158053,0.9926271890822255,0.0,0.007398520295940812,0.9978619799144792,0.9986489324282106,0.008478863607160747,10000,
ruan30_mlp_full,ruan,30,mlp,full,Ruan CAISO 30-bus,MLP,0.9961,0.9961007798440311,1.0,0.9922015596880623,0.9960855164107196,0.9922301958658866,0.0,0.007798440311937612,0.9980696799227872,0.9987721212423655,0.004758220608346164,10000,
ruan30_gcn_full,ruan,30,gcn,full,Ruan CAISO 30-bus,GCN,0.8836,0.883622675344907,0.9961210240496509,0.770245950809838,0.8687415426251691,0.7877359986060751,0.0030006001200240046,0.22975404919016196,0.967505798700232,0.9751609964749035,0.007589529803954065,10000,
ruan30_wgcn_full,ruan,30,wgcn,full,Ruan CAISO 30-bus,W-GCN,0.9557,0.9557066982282679,0.9884269181311616,0.9222155568886222,0.9541739940002069,0.9134536816320815,0.010802160432086417,0.07778444311137772,0.9745755189830207,0.9828693995458957,0.0053619485115632415,10000,
ruan30_gat_full,ruan,30,gat,full,Ruan CAISO 30-bus,GAT,0.9118,0.9118176364727055,1.0,0.823635272945411,0.9032894736842105,0.8367263528387232,0.0,0.17636472705458908,0.9705663388226536,0.9793721802702267,0.006098988885059953,10000,
ruan30_qgnn_pilot,ruan,30,qgnn,pilot,Ruan CAISO 30-bus,QGNN-pilot,0.5125,0.49516908212560384,0.5150753768844221,0.9903381642512077,0.6776859504132231,-0.06844897412735788,1.0,0.00966183574879227,0.5338039097894921,0.6153623793701093,7.3833093827124685,400,
ruan30_qgnn_calibrated,ruan,30,qgnn,calibrated,Ruan CAISO 30-bus,QGNN-cal,0.5175,0.5,0.5175,1.0,0.6820428336079077,0.0,1.0,0.0,0.5214387624840429,0.6055315213981951,7.302680457360111,400,0.4775508642196655
ruan30_qgnn_enhanced4,ruan,30,qgnn,enhanced4,Ruan CAISO 30-bus,QGNN-enh4,0.52,0.5036419614027183,0.5193798449612403,0.9710144927536232,0.6767676767676768,0.020525890280598896,0.9637305699481865,0.028985507246376812,0.6688818803033716,0.7507912562445598,6.620381117099896,400,0.4230857789516449
ruan30_qgnn_enhanced6,ruan,30,qgnn,enhanced6,Ruan CAISO 30-bus,QGNN-enh6,0.795,0.8019323671497585,1.0,0.6038647342995169,0.7530120481927711,0.6510017280239788,0.0,0.3961352657004831,0.7038872618958224,0.8211360022659335,10.96613920526579,400,0.4446038603782654
ruan30_qgnn_enhanced6_balacc,ruan,30,qgnn,enhanced6_balacc,Ruan CAISO 30-bus,QGNN-enh6-BA,0.795,0.8019323671497585,1.0,0.6038647342995169,0.7530120481927711,0.6510017280239788,0.0,0.3961352657004831,0.7038872618958224,0.8211360022659335,10.741488122730516,400,0.4446038603782654
ruan118_cnn1d_full,ruan,118,cnn1d,full,Ruan CAISO 118-bus,1D-CNN,0.9891,0.9891021795640872,1.0,0.9782043591281744,0.9889821085616092,0.9784326149536512,0.0,0.021795640871825634,0.9994370799774833,0.9995130900770093,0.006199144315905869,10000,
ruan118_mlp_full,ruan,118,mlp,full,Ruan CAISO 118-bus,MLP,0.9844,0.9844031193761248,1.0,0.9688062387522496,0.9841560024375381,0.9692720665507876,0.0,0.03119376124775045,0.99713599988544,0.9975597838371256,0.00512435098644346,10000,
ruan118_gcn_full,ruan,118,gcn,full,Ruan CAISO 118-bus,GCN,0.7686,0.7686290307451612,0.8785573400958017,0.6234753049390122,0.7293567251461989,0.5614181073562592,0.08621724344868974,0.3765246950609878,0.8224960328998413,0.874720160435968,0.005864475201815367,10000,
ruan118_wgcn_full,ruan,118,wgcn,full,Ruan CAISO 118-bus,W-GCN,0.8606,0.8606173144246926,0.9361547762998791,0.7740451909618077,0.8474168126094571,0.7322760006163513,0.052810562112422486,0.22595480903819237,0.8926695957067838,0.9281443470788728,0.006171894795261324,10000,
ruan118_gat_full,ruan,118,gat,full,Ruan CAISO 118-bus,GAT,0.8515,0.8515296940611878,1.0,0.7030593881223756,0.8256428319830926,0.7362343415929896,0.0,0.2969406118776245,0.9046026161841046,0.9363442834873634,0.011061267997138201,10000,
